centreID,staffID,assignmentDate,workingHour,dutyRole
C32447,N75208,29/01/2019,night shift(2100-0500),vaccinator
C43228,D90181,22/08/2019,night shift(2100-0500),condition monitoring
C80123,N30894,29/06/2018,night shift(2100-0500),examiner
C27022,D03431,24/03/2020,night shift(2100-0500),condition monitoring
C17418,D37479,28/04/2019,morning shift(0500-1300),condition monitoring
C37581,N69245,30/08/2020,night shift(2100-0500),tester
C33733,D46786,13/11/2019,night shift(2100-0500),condition monitoring
C09157,D56179,27/05/2020,morning shift(0500-1300),condition monitoring
C07739,D11291,20/03/2021,night shift(2100-0500),coordinator
C19149,D53654,03/08/2018,morning shift(0500-1300),condition monitoring
C34341,D86401,19/01/2021,morning shift(0500-1300),coordinator
C38573,D15387,01/04/2021,morning shift(0500-1300),coordinator
C21883,D38494,27/05/2019,night shift(2100-0500),condition monitoring
C80674,D30671,04/11/2020,night shift(2100-0500),coordinator
C73062,N54936,30/12/2019,night shift(2100-0500),vaccinator
C38789,D49234,04/06/2019,night shift(2100-0500),coordinator
C34151,D96055,04/10/2019,night shift(2100-0500),condition monitoring
C89400,N72530,14/11/2020,afternoon shift(1300-2100),tester
C97873,N94364,28/03/2020,morning shift(0500-1300),examiner
C55995,D04457,17/12/2018,morning shift(0500-1300),condition monitoring
C16057,N39757,12/08/2018,afternoon shift(1300-2100),vaccinator
C30323,D48658,18/04/2020,morning shift(0500-1300),condition monitoring
C90794,D91669,19/08/2018,night shift(2100-0500),coordinator
C33463,D82632,17/12/2018,night shift(2100-0500),coordinator
C00960,N80441,19/02/2019,afternoon shift(1300-2100),care taker
C65811,N65567,11/07/2018,night shift(2100-0500),tester
C96657,D43480,27/01/2021,morning shift(0500-1300),condition monitoring
C57533,D38633,04/04/2021,morning shift(0500-1300),condition monitoring
C73148,D73074,26/06/2019,afternoon shift(1300-2100),condition monitoring
C77741,N86907,05/02/2019,night shift(2100-0500),care taker
C63521,D96949,25/03/2020,afternoon shift(1300-2100),condition monitoring
C75072,N86851,15/09/2018,afternoon shift(1300-2100),examiner
C44256,D95583,24/04/2021,morning shift(0500-1300),condition monitoring
C28348,N05113,16/12/2019,night shift(2100-0500),tester
C94724,D61424,17/03/2021,night shift(2100-0500),condition monitoring
C94075,N90357,10/05/2020,afternoon shift(1300-2100),examiner
C95781,D51669,18/12/2019,morning shift(0500-1300),coordinator
C08426,D56462,12/07/2018,morning shift(0500-1300),coordinator
C62299,N60114,05/07/2020,night shift(2100-0500),tester
C34648,D40085,30/11/2019,night shift(2100-0500),condition monitoring
C32447,N08406,19/12/2020,afternoon shift(1300-2100),care taker
C43228,N24746,13/08/2020,morning shift(0500-1300),care taker
C80123,N41020,29/11/2019,afternoon shift(1300-2100),vaccinator
C27022,D53630,20/07/2019,night shift(2100-0500),coordinator
C17418,D25692,08/12/2018,afternoon shift(1300-2100),coordinator
C37581,D11597,30/06/2021,night shift(2100-0500),condition monitoring
C33733,D92383,06/09/2019,afternoon shift(1300-2100),coordinator
C09157,D82478,15/02/2021,night shift(2100-0500),condition monitoring
C07739,N67457,13/01/2019,morning shift(0500-1300),vaccinator
C19149,N85787,09/02/2021,afternoon shift(1300-2100),care taker
C34341,D53349,28/10/2020,night shift(2100-0500),coordinator
C38573,N37405,03/07/2018,afternoon shift(1300-2100),examiner
C21883,N96368,18/07/2021,morning shift(0500-1300),care taker
C80674,D75710,19/02/2019,afternoon shift(1300-2100),condition monitoring
C73062,D56150,16/08/2020,afternoon shift(1300-2100),condition monitoring
C38789,N56730,01/04/2021,morning shift(0500-1300),examiner
C34151,D97161,17/01/2021,night shift(2100-0500),condition monitoring
C89400,N92233,06/11/2018,morning shift(0500-1300),care taker
C97873,D67490,28/01/2019,afternoon shift(1300-2100),condition monitoring
C55995,N77618,10/12/2020,afternoon shift(1300-2100),examiner
C16057,D02656,02/11/2020,night shift(2100-0500),condition monitoring
C30323,D91826,12/02/2019,night shift(2100-0500),coordinator
C90794,D27343,04/12/2020,night shift(2100-0500),condition monitoring
C33463,D40169,15/01/2019,night shift(2100-0500),coordinator
C00960,N85896,28/04/2020,afternoon shift(1300-2100),vaccinator
C65811,D61160,02/08/2021,night shift(2100-0500),condition monitoring
C96657,N21108,26/03/2020,afternoon shift(1300-2100),tester
C57533,N96291,08/10/2020,night shift(2100-0500),examiner
C73148,N58033,24/06/2018,morning shift(0500-1300),tester
C77741,D81108,14/10/2018,morning shift(0500-1300),coordinator
C63521,N84837,21/02/2021,night shift(2100-0500),tester
C75072,N97774,11/02/2020,morning shift(0500-1300),care taker
C44256,D34310,26/09/2019,night shift(2100-0500),condition monitoring
C28348,N63738,26/11/2020,night shift(2100-0500),tester
C94724,D74664,07/07/2019,night shift(2100-0500),coordinator
C94075,N29069,29/06/2021,afternoon shift(1300-2100),examiner
C95781,D71109,27/03/2020,afternoon shift(1300-2100),coordinator
C08426,N35329,08/12/2020,morning shift(0500-1300),tester
C62299,D64859,04/07/2019,morning shift(0500-1300),coordinator
C34648,D29258,24/06/2019,afternoon shift(1300-2100),condition monitoring
C32447,D46074,23/10/2018,night shift(2100-0500),coordinator
C43228,D98211,12/04/2020,afternoon shift(1300-2100),condition monitoring
C80123,D12312,29/08/2018,morning shift(0500-1300),coordinator
C27022,D93582,03/10/2018,morning shift(0500-1300),condition monitoring
C17418,N96040,30/05/2020,morning shift(0500-1300),care taker
C37581,N31950,05/08/2020,night shift(2100-0500),examiner
C33733,D20905,26/12/2019,afternoon shift(1300-2100),condition monitoring
C09157,D15712,13/04/2021,morning shift(0500-1300),coordinator
C07739,N48801,29/10/2018,afternoon shift(1300-2100),vaccinator
C19149,N12032,07/02/2021,morning shift(0500-1300),tester
C34341,N33502,01/07/2019,night shift(2100-0500),vaccinator
C38573,D80866,06/10/2020,morning shift(0500-1300),condition monitoring
